"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameReleaseComparatorExactYear record1Value","[0] GameReleaseComparatorExactYear record2Value","[0] GameReleaseComparatorExactYear record1PreprocessedValue","[0] GameReleaseComparatorExactYear record2PreprocessedValue","[0] GameReleaseComparatorExactYear similarity","[0] GameReleaseComparatorExactYear postproccesedSimilarity","[1] GameNameComparatorLowerCaseJaccard record1Value","[1] GameNameComparatorLowerCaseJaccard record2Value","[1] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard similarity","[1] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[2] GameGenreComparatorMongeElkan record1Value","[2] GameGenreComparatorMongeElkan record2Value","[2] GameGenreComparatorMongeElkan record1PreprocessedValue","[2] GameGenreComparatorMongeElkan record2PreprocessedValue","[2] GameGenreComparatorMongeElkan similarity","[2] GameGenreComparatorMongeElkan postproccesedSimilarity"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7145","Kaggle1_Video_Game_1915","0.1",,"2007-11-06T00:00","2006-01-01T00:00","2007-11-06T00:00","2006-01-01T00:00","0.5","0.5","lego star wars: the complete saga","lego star wars ii: the original trilogy","lego star wars: the complete saga","lego star wars ii: the original trilogy","0.4444444444444444","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_9097","Kaggle1_Video_Game_5502","0.0",,"2008-11-10T00:00","2005-01-01T00:00","2008-11-10T00:00","2005-01-01T00:00","0.0","0.0","call of duty: world at war – final fronts","call of duty 2: big red one","call of duty: world at war – final fronts","call of duty 2: big red one","0.25","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_2971","Kaggle1_Video_Game_3837","0.1",,"2001-07-25T00:00","2002-01-01T00:00","2001-07-25T00:00","2002-01-01T00:00","0.5","0.5","ncaa football 2002","ncaa football 2003","ncaa football 2002","ncaa football 2003","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6356","Kaggle1_Video_Game_569","0.0",,"2012-10-23T00:00","1998-01-01T00:00","2012-10-23T00:00","1998-01-01T00:00","0.0","0.0","medal of honor: warfighter","medal of honor","medal of honor: warfighter","medal of honor","0.75","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4508","Kaggle1_Video_Game_8110","0.8",,"2010-10-05T00:00","2010-01-01T00:00","2010-10-05T00:00","2010-01-01T00:00","1.0","1.0","ben 10 ultimate alien: cosmic destruction","ben 10 ultimate alien: cosmic destruction","ben 10 ultimate alien: cosmic destruction","ben 10 ultimate alien: cosmic destruction","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_5904","Kaggle1_Video_Game_1916","0.0",,"2019-10-01T00:00","2006-01-01T00:00","2019-10-01T00:00","2006-01-01T00:00","0.0","0.0","call of duty: mobile","call of duty 3","call of duty: mobile","call of duty 3","0.6","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_181","Kaggle1_Video_Game_7719","0.0",,"1994-08-25T00:00","2006-01-01T00:00","1994-08-25T00:00","2006-01-01T00:00","0.0","0.0","the king of fighters '94","the king of fighters xi","the king of fighters '94","the king of fighters xi","0.6666666666666666","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_16","Kaggle1_Video_Game_14023","0.0",,"2008-03-27T00:00","2010-01-01T00:00","2008-03-27T00:00","2010-01-01T00:00","0.0","0.0","monster hunter freedom unite","monster hunter frontier online: season 9.0","monster hunter freedom unite","monster hunter frontier online: season 9.0","0.2222222222222222","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4223","Kaggle1_Video_Game_7294","0.0",,"1995-10-24T00:00","2010-01-01T00:00","1995-10-24T00:00","2010-01-01T00:00","0.0","0.0","marvel super heroes (video game)","marvel super hero squad: the infinity gauntlet","marvel super heroes (video game)","marvel super hero squad: the infinity gauntlet","0.2","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_255","Kaggle1_Video_Game_8890","0.8",,"2016-10-27T00:00","2016-01-01T00:00","2016-10-27T00:00","2016-01-01T00:00","1.0","1.0","sword art online: hollow realization","sword art online: hollow realization","sword art online: hollow realization","sword art online: hollow realization","1.0","1.0","","","","","0.0","0.0"
